Symbol,Name,Book Value Per Share,Price / Book Value
CETY,"Clean Energy Technologies, Inc.",0.13051,11.49337
CERE,Cerevel Therapeutics Holdings Inc,3.71492,11.41344
PAYX,"Paychex, Inc.",10.5554,11.38375
MDGL,"Madrigal Pharmaceuticals, Inc.",20.39368,11.34567
MNDY,monday.com Ltd.,16.62803,11.29478
ATPC,Agape ATP Corp.,0.05667,11.27581
CHDN,Churchill Downs Incorporated,11.99463,11.2492
DOCU,"DocuSign, Inc.",5.50217,11.07199
LYFT,"Lyft, Inc. Class A",1.35445,11.06722
FAST,Fastenal Company,5.85473,11.06285
NWTN,"NWTN, Inc. Class B",0.98321,10.91323
HOUR,"Hour Loop, Inc.",0.12693,10.90444
TSCO,Tractor Supply Company,19.90963,10.8003
MARPS,Marine Petroleum Trust,0.48909,10.79556
APP,AppLovin Corp. Class A,3.69632,10.78099
SHC,Sotera Health Company,1.56891,10.73994
FIVN,"Five9, Inc.",7.33916,10.72194
ULTA,Ulta Beauty Inc.,47.16762,10.71349
NSSC,"NAPCO Security Technologies, Inc.",4.8513,10.70847
SPSC,"SPS Commerce, Inc.",18.12803,10.69283
LIXT,"Lixte Biotechnology Holdings, Inc.",0.21996,10.68376
EPOW,"Sunrise New Energy Co., Ltd Class A",0.10118,10.67405
ABNB,"Airbnb, Inc. Class A",12.79781,10.63776
ARWR,"Arrowhead Pharmaceuticals, Inc.",2.52854,10.62669
AIHS,Senmiao Technology Ltd.,0.08508,10.57946
APCX,Apptech Payments Corp,0.18848,10.55815
LOOP,"Loop Industries, Inc.",0.29755,10.55285
SWAV,Shockwave Medical Inc,18.0769,10.54163
EYEN,"Eyenovia, Inc.",0.19755,10.52898
SRPT,"Sarepta Therapeutics, Inc.",9.16804,10.51806
CWD,"CaliberCos, Inc. Class A",0.12321,10.46993
NUVO,Holdco Nuvo Group D.G Ltd.,1.0874,10.40096
NUKK,Nukkleus Inc.,0.73463,10.38423
ODFL,"Old Dominion Freight Line, Inc.",19.53743,10.37317
ALHC,"Alignment Healthcare, Inc.",0.83061,10.36588
OMH,Ohmyhome Limited,0.14809,10.33156
MACK,"Merrimack Pharmaceuticals, Inc.",1.30632,10.26548
BIVI,BioVie Inc. Class A,4.21102,10.23505
NFLX,"Netflix, Inc.",47.57448,10.23406
VRNS,"Varonis Systems, Inc.",4.48791,10.08933
ATOM,Atomera Incorporated,0.69598,10.07213
AUTL,Autolus Therapeutics Plc Sponsored ADR,0.64028,10.0581
REBN,"Reborn Coffee, Inc.",0.45355,10.05225
EAC,Edify Acquisition Corp. Class A,1.01575,9.928624
ROST,"Ross Stores, Inc.",14.53381,9.885914
EXPI,"eXp World Holdings, Inc.",1.57006,9.884973
ARRY,Array Technologies Inc,1.71413,9.80089
NTRA,"Natera, Inc.",6.40007,9.787393
AGYS,"Agilysys, Inc.",8.63784,9.754753
DSKE,"Daseke, Inc.",0.83322,9.721322
ALTR,Altair Engineering Inc. Class A,8.66905,9.706946
ATIF,ATIF Holdings Ltd.,0.15989,9.694164
LINK,"Interlink Electronics, Inc.",0.88073,9.666224
LNW,"Light & Wonder, Inc.",8.5,9.66
ADSE,ADS-TEC Energy Public Limited Company,0.74071,9.652901
REFR,Research Frontiers Incorporated,0.10498,9.62088
COST,Costco Wholesale Corporation,56.59078,9.617291
KRTX,"Karuna Therapeutics, Inc.",32.93898,9.60898
CYTH,Cyclo Therapeutics Inc,0.16658,9.544964
WDAY,"Workday, Inc. Class A",30.62965,9.502884
LECO,"Lincoln Electric Holdings, Inc.",22.97206,9.466282
AEYE,"AudioEye, Inc.",0.57271,9.463778
BASE,"Couchbase, Inc.",2.65732,9.407975
ERIE,Erie Indemnity Company Class A,35.70586,9.379973
QTI,"QT Imaging Holdings, Inc.",1.2365,9.353012
ODD,ODDITY Tech Ltd. Class A,4.97843,9.34632
IMCR,Immunocore Holdings Plc Shs Sponsored American Depositary Shares Repr 1 Sh,7.3746,9.264232
SKYX,SKYX Platforms Corp.,0.17355,9.219245
MORN,"Morningstar, Inc.",31.07551,9.211112
CBAY,"CymaBay Therapeutics, Inc.",2.56669,9.202514
KLTR,"Kaltura, Inc.",0.21264,9.170429
TXN,Texas Instruments Incorporated,18.58856,9.170156
BRFH,Barfresh Food Group Inc.,0.17358,9.160042
